title,url,weight,Processor manufacturer,Processor model,Processor series,min hertz, max hertz,cach mem,RAM,internal storage,internal_storage_hdd,internal storage type,GPU manufacturer,GPU model,GPU memory,screen size,screen refresh rate,battery,price
لپ تاپ 15.6 اینچی ایسوس مدل Vivobook E1504FA-NJ287-R5 7520U 8GB 1SSD W - کاستوم شده,https://www.digikala.com/product/dkp-15657345/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-%D9%85%D8%AF%D9%84-vivobook-e1504fa-nj287-r5-7520u-8gb-1ssd-w-%DA%A9%D8%A7%D8%B3%D8%AA%D9%88%D9%85-%D8%B4%D8%AF%D9%87/,1.7,AMD,7520U,Ryzen 5,2.8,4.3,4,DDR5 ,1024,0,SSD ,AMD ,Radeon Graphics ,0,15.6,60,42,28130000
لپ تاپ 15.6 اینچی ایسوس مدل Vivobook K3504VA-BQ334W-i5 1335U 40GB 1SSD W - کاستوم شده,https://www.digikala.com/product/dkp-15752817/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-%D9%85%D8%AF%D9%84-vivobook-k3504va-bq334w-i5-1335u-40gb-1ssd-w-%DA%A9%D8%A7%D8%B3%D8%AA%D9%88%D9%85-%D8%B4%D8%AF%D9%87/,1.6,Intel,1335U,Core i5,0.9,4.6,12,DDR4 ,1024,0,SSD ,Intel ,Iris Xe ,0,15.6,60,42,46590000
لپ تاپ 15.6 اینچی لنوو مدل IdeaPad Slim 3 15IRH8-i5 13420H 8GB 1SSD - کاستوم شده,https://www.digikala.com/product/dkp-15761420/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D9%84%D9%86%D9%88%D9%88-%D9%85%D8%AF%D9%84-ideapad-slim-3-15irh8-i5-13420h-8gb-1ssd-%DA%A9%D8%A7%D8%B3%D8%AA%D9%88%D9%85-%D8%B4%D8%AF%D9%87/,1.62,Intel,13420H,Core i5,1.5,4.6,12,LPDDR5 ,1024,0,SSD ,Intel ,UHD Graphics ,0,15.6,60,47,29590000
لپ تاپ 16 اینچی لنوو مدل Legion Y9000P-i9 14900HX 24GB 1SSD RTX4060 W - کاستوم شده,https://www.digikala.com/product/dkp-15742850/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-16-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D9%84%D9%86%D9%88%D9%88-%D9%85%D8%AF%D9%84-legion-y9000p-i9-14900hx-24gb-1ssd-rtx4060-w-%DA%A9%D8%A7%D8%B3%D8%AA%D9%88%D9%85-%D8%B4%D8%AF%D9%87/,2.55,Intel,14900HX,Core i9,1.6,5.8,36,DDR5 ,1024,0,SSD ,NVIDIA ,GeForce RTX 4060 ,8,16,165,80,125000000
لپ تاپ 16 اینچی لنوو مدل Legion Y9000P-i9 14900HX 32GB 1SSD RTX4060 W - کاستوم شده,https://www.digikala.com/product/dkp-15743186/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-16-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D9%84%D9%86%D9%88%D9%88-%D9%85%D8%AF%D9%84-legion-y9000p-i9-14900hx-32gb-1ssd-rtx4060-w-%DA%A9%D8%A7%D8%B3%D8%AA%D9%88%D9%85-%D8%B4%D8%AF%D9%87/,2.55,Intel,14900HX,Core i9,1.6,5.8,36,DDR5 ,1024,0,SSD ,NVIDIA ,GeForce RTX 4060 ,8,16,165,80,127000000
لپ تاپ 16 اینچی لنوو مدل Legion Y9000P-i9 14900HX 32GB 2SSD RTX4060 W - کاستوم شده,https://www.digikala.com/product/dkp-15743202/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-16-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D9%84%D9%86%D9%88%D9%88-%D9%85%D8%AF%D9%84-legion-y9000p-i9-14900hx-32gb-2ssd-rtx4060-w-%DA%A9%D8%A7%D8%B3%D8%AA%D9%88%D9%85-%D8%B4%D8%AF%D9%87/,2.55,Intel,14900HX,Core i9,1.6,5.8,36,DDR5 ,2048,0,SSD ,NVIDIA ,GeForce RTX 4060 ,8,16,165,80,130000000
لپ تاپ 16 اینچی لنوو مدل Legion Y9000P-i9 14900HX 40GB 2SSD RTX4060 W - کاستوم شده,https://www.digikala.com/product/dkp-15744759/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-16-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D9%84%D9%86%D9%88%D9%88-%D9%85%D8%AF%D9%84-legion-y9000p-i9-14900hx-40gb-2ssd-rtx4060-w-%DA%A9%D8%A7%D8%B3%D8%AA%D9%88%D9%85-%D8%B4%D8%AF%D9%87/,2.55,Intel,14900HX,Core i9,1.6,5.8,36,DDR5 ,2048,0,SSD ,NVIDIA ,GeForce RTX 4060 ,8,16,165,80,132000000
لپ تاپ 15.6 اینچی ایسوس مدل Vivobook K3504VA-BQ337W-i7 1355U 8GB 512SSD W - کاستوم شده,https://www.digikala.com/product/dkp-15746011/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-%D9%85%D8%AF%D9%84-vivobook-k3504va-bq337w-i7-1355u-8gb-512ssd-w-%DA%A9%D8%A7%D8%B3%D8%AA%D9%88%D9%85-%D8%B4%D8%AF%D9%87/,1.6,Intel,1355U,Core i7,1.2,5,12,DDR4 ,512,0,SSD ,Intel ,Iris Xe ,0,15.6,60,42,44790000
لپ تاپ 15.6 اینچی ایسوس مدل TUF Gaming F15 FX507VI-LP062-i7 13620H 16GB 1SSD RTX4070,https://www.digikala.com/product/dkp-15671762/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-%D9%85%D8%AF%D9%84-tuf-gaming-f15-fx507vi-lp062-i7-13620h-16gb-1ssd-rtx4070/,2.2,Intel,13620H,Core i7,1.8,4.9,24,DDR5 ,1024,0,SSD ,NVIDIA ,GeForce RTX 4070 ,8,15.6,144,90,87000000
لپ تاپ 15.6 اینچی دل مدل Vostro 3520-i3 1215U 16GB 1SSD - کاستوم شده,https://www.digikala.com/product/dkp-15645617/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-156-%D8%A7%DB%8C%D9%86%DA%86%DB%8C-%D8%AF%D9%84-%D9%85%D8%AF%D9%84-vostro-3520-i3-1215u-16gb-1ssd-%DA%A9%D8%A7%D8%B3%D8%AA%D9%88%D9%85-%D8%B4%D8%AF%D9%87/,1.66,Intel,1215U,Core i3,0.9,4.4,10,DDR4 ,1024,0,SSD ,Intel ,UHD Graphics ,0,15.6,120,41,25449000
